date,D0,D1,D2,D3,D4
19500101,90.1,83.9,57.9,40.8,16.1
19500201,92.7,89.4,72.4,50.8,13.1
19500301,95.8,90.4,68.8,48.5,8.3
19500401,96.1,90.9,70.6,43.6,0.2
19500501,97.5,90.8,76.8,29.2,0.1
19500601,96.2,89.3,68.2,12.1,0.0
19500701,89.6,73.0,17.2,2.3,0.0
19500801,97.1,79.9,46.2,12.2,0.6
19500901,88.5,65.4,5.7,0.0,0.0
19501001,85.6,66.5,9.5,0.0,0.0
19501101,83.1,65.4,9.6,0.0,0.0
19501201,87.7,78.2,48.5,31.7,13.8
19510101,81.9,58.2,8.1,2.3,0.0
19510201,93.2,81.3,28.4,6.1,0.1
19510301,98.6,91.1,58.3,18.8,0.8
19510401,100.0,87.0,50.8,17.3,0.4
19510501,82.9,61.5,14.1,2.0,0.1
19510601,93.6,75.3,33.8,11.3,3.1
19510701,75.7,46.2,11.7,6.9,0.8
19510801,42.2,29.3,11.6,6.5,0.6
19510901,23.6,12.1,4.6,0.9,0.0
19511001,26.8,16.1,5.7,1.7,0.2
19511101,13.5,7.8,2.0,0.2,0.0
19511201,0.0,0.0,0.0,0.0,0.0
19520101,0.0,0.0,0.0,0.0,0.0
19520201,0.0,0.0,0.0,0.0,0.0
19520301,0.0,0.0,0.0,0.0,0.0
19520401,0.0,0.0,0.0,0.0,0.0
19520501,0.0,0.0,0.0,0.0,0.0
19520601,0.0,0.0,0.0,0.0,0.0
19520701,0.0,0.0,0.0,0.0,0.0
19520801,0.0,0.0,0.0,0.0,0.0
19520901,0.0,0.0,0.0,0.0,0.0
19521001,0.1,0.0,0.0,0.0,0.0
19521101,0.0,0.0,0.0,0.0,0.0
19521201,0.0,0.0,0.0,0.0,0.0
19530101,0.0,0.0,0.0,0.0,0.0
19530201,11.8,0.0,0.0,0.0,0.0
19530301,25.6,6.2,0.0,0.0,0.0
19530401,36.7,12.8,0.0,0.0,0.0
19530501,26.4,2.1,0.0,0.0,0.0
19530601,58.3,20.4,3.1,0.0,0.0
19530701,37.7,10.2,0.7,0.0,0.0
19530801,79.6,55.4,6.6,0.8,0.0
19530901,96.0,90.1,64.7,31.3,8.0
19531001,93.1,85.7,57.6,26.8,6.8
19531101,95.3,88.5,59.8,32.3,1.1
19531201,97.6,92.1,76.9,42.6,6.1
19540101,26.1,3.5,0.0,0.0,0.0
19540201,41.8,17.9,0.0,0.0,0.0
19540301,11.4,0.4,0.0,0.0,0.0
19540401,13.2,0.3,0.0,0.0,0.0
19540501,12.8,3.5,0.0,0.0,0.0
19540601,6.4,0.1,0.0,0.0,0.0
19540701,0.0,0.0,0.0,0.0,0.0
19540801,2.8,0.0,0.0,0.0,0.0
19540901,0.0,0.0,0.0,0.0,0.0
19541001,23.2,4.5,0.0,0.0,0.0
19541101,0.0,0.0,0.0,0.0,0.0
19541201,47.3,27.2,11.6,3.1,0.0
19550101,2.3,0.0,0.0,0.0,0.0
19550201,5.5,1.7,0.0,0.0,0.0
19550301,44.9,7.8,0.0,0.0,0.0
19550401,88.0,53.4,2.0,0.0,0.0
19550501,70.1,18.5,0.0,0.0,0.0
19550601,70.5,28.2,0.0,0.0,0.0
19550701,7.6,2.7,0.0,0.0,0.0
19550801,18.5,7.2,0.0,0.0,0.0
19550901,11.9,6.4,0.0,0.0,0.0
19551001,30.7,25.3,11.7,5.9,0.6
19551101,24.5,18.1,8.5,3.6,0.5
19551201,17.5,12.1,2.7,0.3,0.0
19560101,7.3,1.4,0.0,0.0,0.0
19560201,19.6,11.9,2.7,0.0,0.0
19560301,38.2,19.2,9.1,2.5,0.0
19560401,75.5,41.1,5.0,1.5,0.0
19560501,94.3,85.5,68.7,63.7,57.3
19560601,93.5,82.1,66.7,61.3,51.5
19560701,73.4,54.1,31.4,25.7,20.1
19560801,80.2,62.6,37.9,29.9,23.5
19560901,64.5,49.1,31.4,26.0,20.0
19561001,89.6,78.5,42.9,33.0,25.7
19561101,82.8,71.9,40.6,31.9,25.4
19561201,80.5,65.3,37.1,30.7,24.4
19570101,56.3,39.3,12.1,1.4,0.0
19570201,80.1,48.6,16.7,4.9,0.0
19570301,90.1,55.0,22.7,11.3,0.0
19570401,99.4,86.6,35.9,21.2,7.1
19570501,94.0,76.6,20.2,7.8,0.0
19570601,88.5,44.4,9.8,0.0,0.0
19570701,74.5,59.6,15.8,3.8,0.0
19570801,56.2,29.0,4.0,0.2,0.0
19570901,32.9,11.4,0.4,0.0,0.0
19571001,25.1,11.1,0.0,0.0,0.0
19571101,10.3,3.0,0.0,0.0,0.0
19571201,2.8,0.0,0.0,0.0,0.0
19580101,12.2,1.0,0.0,0.0,0.0
19580201,7.3,0.4,0.0,0.0,0.0
19580301,0.0,0.0,0.0,0.0,0.0
19580401,0.0,0.0,0.0,0.0,0.0
19580501,0.0,0.0,0.0,0.0,0.0
19580601,0.0,0.0,0.0,0.0,0.0
19580701,1.1,0.0,0.0,0.0,0.0
19580801,0.8,0.0,0.0,0.0,0.0
19580901,0.1,0.0,0.0,0.0,0.0
19581001,0.0,0.0,0.0,0.0,0.0
19581101,0.2,0.0,0.0,0.0,0.0
19581201,5.1,1.0,0.0,0.0,0.0
19590101,38.1,21.3,7.3,0.9,0.0
19590201,32.3,14.3,3.8,0.6,0.0
19590301,50.1,31.1,9.3,3.4,0.2
19590401,57.9,31.5,10.8,4.3,0.0
19590501,84.9,58.3,17.5,8.6,1.2
19590601,99.1,84.6,22.9,9.5,0.1
19590701,99.1,96.1,57.8,24.4,1.3
19590801,94.4,85.1,36.2,9.1,0.0
19590901,64.8,31.0,2.1,0.0,0.0
19591001,44.1,14.2,0.0,0.0,0.0
19591101,55.6,34.9,16.2,11.8,8.1
19591201,10.3,5.0,0.0,0.0,0.0
19600101,5.6,0.8,0.0,0.0,0.0
19600201,5.4,0.0,0.0,0.0,0.0
19600301,14.7,6.6,0.0,0.0,0.0
19600401,14.3,5.6,0.0,0.0,0.0
19600501,34.3,9.5,0.0,0.0,0.0
19600601,40.6,14.9,0.0,0.0,0.0
19600701,33.8,8.6,0.0,0.0,0.0
19600801,46.6,13.5,0.0,0.0,0.0
19600901,51.1,11.6,0.0,0.0,0.0
19601001,52.9,32.2,4.6,0.0,0.0
19601101,27.7,9.7,1.0,0.0,0.0
19601201,25.4,5.4,0.6,0.0,0.0
19610101,46.8,20.1,1.3,0.0,0.0
19610201,75.6,49.3,19.2,5.0,0.0
19610301,79.8,56.3,26.4,13.3,0.0
19610401,83.1,56.2,31.0,22.6,2.3
19610501,63.5,42.7,31.0,22.5,7.4
19610601,87.2,70.5,42.9,33.6,12.4
19610701,98.3,87.8,48.0,41.9,27.9
19610801,88.3,80.5,58.9,41.3,20.2
19610901,84.7,75.5,46.0,19.7,3.7
19611001,87.0,76.1,53.4,20.3,5.9
19611101,69.5,43.0,5.4,0.0,0.0
19611201,38.6,21.9,6.2,0.4,0.0
19620101,44.1,32.3,13.5,6.1,0.0
19620201,43.6,32.0,3.6,0.0,0.0
19620301,50.3,37.7,6.5,0.0,0.0
19620401,49.4,36.6,5.4,0.0,0.0
19620501,69.5,60.5,28.5,11.0,1.0
19620601,65.7,56.6,17.0,7.7,0.0
19620701,64.7,54.4,16.3,3.8,0.0
19620801,72.6,63.9,36.7,13.9,0.0
19620901,75.1,63.4,33.2,15.4,5.2
19621001,68.1,48.5,17.8,9.8,5.8
19621101,97.9,93.9,78.9,63.5,36.3
19621201,96.2,86.2,71.2,53.3,34.8
19630101,99.7,94.0,71.0,60.1,37.1
19630201,96.5,88.0,58.6,37.9,7.3
19630301,98.0,90.9,63.7,35.9,2.8
19630401,99.9,93.9,63.3,25.3,0.0
19630501,95.2,85.2,47.3,21.4,0.1
19630601,93.3,82.0,33.1,7.8,0.0
19630701,99.9,93.1,68.7,35.1,5.9
19630801,96.9,84.8,10.4,0.1,0.0
19630901,4.5,0.0,0.0,0.0,0.0
19631001,0.0,0.0,0.0,0.0,0.0
19631101,0.0,0.0,0.0,0.0,0.0
19631201,0.0,0.0,0.0,0.0,0.0
19640101,1.5,0.0,0.0,0.0,0.0
19640201,19.6,2.5,0.0,0.0,0.0
19640301,26.3,8.2,0.0,0.0,0.0
19640401,14.9,3.1,0.0,0.0,0.0
19640501,19.9,4.8,0.0,0.0,0.0
19640601,80.6,60.8,16.9,8.4,0.0
19640701,99.4,96.2,61.7,31.1,0.0
19640801,100.0,99.2,92.0,74.2,25.1
19640901,97.5,92.9,69.7,35.1,2.8
19641001,98.1,93.6,64.5,25.8,0.4
19641101,59.8,20.1,0.4,0.0,0.0
19641201,69.4,40.6,3.4,0.0,0.0
19650101,93.6,76.3,25.4,4.8,0.5
19650201,99.9,93.3,59.3,21.8,0.0
19650301,97.1,78.7,22.2,1.2,0.0
19650401,55.5,10.9,0.0,0.0,0.0
19650501,47.6,6.2,0.0,0.0,0.0
19650601,22.9,1.4,0.0,0.0,0.0
19650701,3.5,0.0,0.0,0.0,0.0
19650801,35.6,6.0,0.0,0.0,0.0
19650901,11.4,1.5,0.0,0.0,0.0
19651001,5.4,0.7,0.0,0.0,0.0
19651101,0.0,0.0,0.0,0.0,0.0
19651201,0.0,0.0,0.0,0.0,0.0
19660101,0.0,0.0,0.0,0.0,0.0
19660201,0.0,0.0,0.0,0.0,0.0
19660301,0.0,0.0,0.0,0.0,0.0
19660401,0.0,0.0,0.0,0.0,0.0
19660501,0.0,0.0,0.0,0.0,0.0
19660601,0.0,0.0,0.0,0.0,0.0
19660701,0.0,0.0,0.0,0.0,0.0
19660801,22.7,6.7,0.0,0.0,0.0
19660901,89.2,76.6,44.5,20.8,0.4
19661001,76.8,61.9,28.3,13.5,5.8
19661101,71.3,47.3,17.3,2.1,0.0
19661201,15.6,5.2,0.0,0.0,0.0
19670101,16.2,5.2,0.0,0.0,0.0
19670201,46.4,21.1,0.9,0.0,0.0
19670301,72.7,40.3,6.6,0.0,0.0
19670401,63.2,39.9,0.2,0.0,0.0
19670501,52.4,23.3,0.5,0.0,0.0
19670601,51.0,18.6,0.0,0.0,0.0
19670701,42.1,15.6,0.4,0.0,0.0
19670801,19.8,9.4,0.0,0.0,0.0
19670901,11.4,5.6,0.0,0.0,0.0
19671001,13.3,7.0,0.0,0.0,0.0
19671101,0.3,0.0,0.0,0.0,0.0
19671201,0.0,0.0,0.0,0.0,0.0
19680101,0.0,0.0,0.0,0.0,0.0
19680201,1.3,0.0,0.0,0.0,0.0
19680301,0.7,0.0,0.0,0.0,0.0
19680401,1.6,0.0,0.0,0.0,0.0
19680501,9.5,0.0,0.0,0.0,0.0
19680601,24.1,0.1,0.0,0.0,0.0
19680701,1.2,0.0,0.0,0.0,0.0
19680801,17.0,7.4,0.0,0.0,0.0
19680901,63.3,25.2,0.3,0.0,0.0
19681001,20.9,4.0,0.0,0.0,0.0
19681101,11.1,0.7,0.0,0.0,0.0
19681201,49.9,12.7,0.4,0.0,0.0
19690101,0.1,0.0,0.0,0.0,0.0
19690201,2.3,0.0,0.0,0.0,0.0
19690301,5.5,0.4,0.0,0.0,0.0
19690401,18.4,11.7,4.3,1.1,0.0
19690501,8.8,4.9,0.0,0.0,0.0
19690601,5.8,2.6,0.0,0.0,0.0
19690701,5.8,2.6,0.0,0.0,0.0
19690801,7.7,4.7,0.0,0.0,0.0
19690901,0.0,0.0,0.0,0.0,0.0
19691001,0.0,0.0,0.0,0.0,0.0
19691101,5.1,0.2,0.0,0.0,0.0
19691201,22.8,5.2,0.0,0.0,0.0
19700101,60.6,32.3,0.3,0.0,0.0
19700201,72.4,51.4,8.2,0.3,0.0
19700301,72.5,28.2,1.6,0.0,0.0
19700401,77.4,56.9,5.2,0.6,0.0
19700501,77.9,51.3,7.1,0.2,0.0
19700601,95.2,75.5,15.7,2.8,0.0
19700701,73.2,50.3,3.6,0.0,0.0
19700801,65.1,44.1,5.8,0.0,0.0
19700901,45.6,13.0,0.0,0.0,0.0
19701001,34.6,11.2,0.0,0.0,0.0
19701101,12.9,0.1,0.0,0.0,0.0
19701201,27.2,11.4,0.0,0.0,0.0
19710101,47.3,32.2,5.2,0.1,0.0
19710201,58.0,44.0,18.8,4.3,0.0
19710301,79.1,55.1,30.9,15.6,0.3
19710401,92.0,72.9,34.5,22.3,10.0
19710501,97.1,83.0,51.3,28.2,0.1
19710601,93.6,77.1,42.1,20.6,0.0
19710701,87.1,71.3,44.4,24.8,6.2
19710801,86.5,78.0,33.7,4.3,0.0
19710901,86.1,74.3,54.4,36.4,4.2
19711001,74.9,65.7,20.8,7.4,1.0
19711101,71.5,56.9,18.7,10.5,4.4
19711201,12.3,1.6,0.0,0.0,0.0
19720101,45.6,16.0,0.5,0.0,0.0
19720201,80.9,62.0,25.1,8.8,1.6
19720301,90.1,79.8,51.0,21.8,4.1
19720401,92.2,79.7,54.1,20.4,2.1
19720501,99.3,96.6,91.5,71.6,35.0
19720601,97.5,94.9,77.8,48.4,16.6
19720701,98.7,96.5,86.9,74.5,42.3
19720801,97.9,94.2,65.5,48.1,33.5
19720901,100.0,99.9,95.1,83.8,59.1
19721001,84.0,66.4,38.0,23.6,17.2
19721101,29.2,7.9,0.0,0.0,0.0
19721201,9.5,4.0,0.0,0.0,0.0
19730101,11.2,4.7,0.1,0.0,0.0
19730201,4.6,2.7,0.0,0.0,0.0
19730301,2.6,0.1,0.0,0.0,0.0
19730401,1.6,0.0,0.0,0.0,0.0
19730501,0.0,0.0,0.0,0.0,0.0
19730601,0.0,0.0,0.0,0.0,0.0
19730701,2.5,0.0,0.0,0.0,0.0
19730801,10.2,6.0,0.0,0.0,0.0
19730901,7.8,3.8,0.0,0.0,0.0
19731001,8.3,3.6,0.0,0.0,0.0
19731101,19.9,7.0,0.0,0.0,0.0
19731201,100.1,89.0,65.5,49.5,23.1
19740101,33.3,12.0,0.0,0.0,0.0
19740201,70.2,41.7,6.7,0.0,0.0
19740301,55.9,23.0,2.1,0.0,0.0
19740401,49.6,13.4,0.0,0.0,0.0
19740501,45.8,8.2,0.0,0.0,0.0
19740601,27.7,1.7,0.0,0.0,0.0
19740701,9.5,0.0,0.0,0.0,0.0
19740801,17.1,0.1,0.0,0.0,0.0
19740901,2.0,0.0,0.0,0.0,0.0
19741001,45.4,19.1,1.5,0.6,0.0
19741101,22.2,6.1,0.3,0.0,0.0
19741201,25.8,4.8,0.0,0.0,0.0
19750101,54.7,31.3,2.2,0.0,0.0
19750201,71.6,44.9,10.5,2.6,0.0
19750301,66.7,35.6,8.0,1.1,0.0
19750401,61.9,25.1,1.4,0.0,0.0
19750501,65.9,23.7,2.3,0.2,0.0
19750601,55.0,14.4,1.5,0.0,0.0
19750701,94.9,81.3,13.1,1.1,0.0
19750801,92.8,84.4,18.7,2.5,0.0
19750901,88.4,68.5,12.5,5.2,0.0
19751001,69.1,42.5,7.7,1.6,0.0
19751101,67.5,42.9,8.4,1.9,0.0
19751201,93.7,80.2,29.7,9.8,0.0
19760101,99.9,98.4,91.3,86.4,69.7
19760201,60.9,30.6,6.6,2.7,0.0
19760301,71.3,45.6,8.9,4.1,0.0
19760401,51.4,32.7,3.3,0.0,0.0
19760501,40.5,27.8,0.5,0.0,0.0
19760601,46.0,32.8,3.2,0.0,0.0
19760701,32.3,19.8,0.8,0.0,0.0
19760801,40.2,13.5,1.6,0.0,0.0
19760901,0.0,0.0,0.0,0.0,0.0
19761001,0.0,0.0,0.0,0.0,0.0
19761101,0.0,0.0,0.0,0.0,0.0
19761201,2.2,0.0,0.0,0.0,0.0
19770101,0.1,0.0,0.0,0.0,0.0
19770201,12.1,3.0,0.0,0.0,0.0
19770301,15.3,7.3,0.0,0.0,0.0
19770401,23.4,11.2,2.0,0.0,0.0
19770501,11.6,6.5,0.0,0.0,0.0
19770601,81.4,35.1,4.9,0.4,0.0
19770701,99.9,82.2,8.5,1.7,0.0
19770801,1.0,0.0,0.0,0.0,0.0
19770901,3.6,0.0,0.0,0.0,0.0
19771001,9.3,5.0,0.0,0.0,0.0
19771101,5.8,2.1,0.0,0.0,0.0
