date,D0,D1,D2,D3,D4
1950-01,90.1,83.9,57.9,40.8,16.1
1950-02,92.7,89.4,72.4,50.8,13.1
1950-03,95.8,90.4,68.8,48.5,8.3
1950-04,96.1,90.9,70.6,43.6,0.2
1950-05,97.5,90.8,76.8,29.2,0.1
1950-06,96.2,89.3,68.2,12.1,0.0
1950-07,89.6,73.0,17.2,2.3,0.0
1950-08,97.1,79.9,46.2,12.2,0.6
1950-09,88.5,65.4,5.7,0.0,0.0
1950-10,85.6,66.5,9.5,0.0,0.0
1950-11,83.1,65.4,9.6,0.0,0.0
1950-12,87.7,78.2,48.5,31.7,13.8
1951-01,81.9,58.2,8.1,2.3,0.0
1951-02,93.2,81.3,28.4,6.1,0.1
1951-03,98.6,91.1,58.3,18.8,0.8
1951-04,100.0,87.0,50.8,17.3,0.4
1951-05,82.9,61.5,14.1,2.0,0.1
1951-06,93.6,75.3,33.8,11.3,3.1
1951-07,75.7,46.2,11.7,6.9,0.8
1951-08,42.2,29.3,11.6,6.5,0.6
1951-09,23.6,12.1,4.6,0.9,0.0
1951-10,26.8,16.1,5.7,1.7,0.2
1951-11,13.5,7.8,2.0,0.2,0.0
1951-12,0.0,0.0,0.0,0.0,0.0
1952-01,0.0,0.0,0.0,0.0,0.0
1952-02,0.0,0.0,0.0,0.0,0.0
1952-03,0.0,0.0,0.0,0.0,0.0
1952-04,0.0,0.0,0.0,0.0,0.0
1952-05,0.0,0.0,0.0,0.0,0.0
1952-06,0.0,0.0,0.0,0.0,0.0
1952-07,0.0,0.0,0.0,0.0,0.0
1952-08,0.0,0.0,0.0,0.0,0.0
1952-09,0.0,0.0,0.0,0.0,0.0
1952-10,0.1,0.0,0.0,0.0,0.0
1952-11,0.0,0.0,0.0,0.0,0.0
1952-12,0.0,0.0,0.0,0.0,0.0
1953-01,0.0,0.0,0.0,0.0,0.0
1953-02,11.8,0.0,0.0,0.0,0.0
1953-03,25.6,6.2,0.0,0.0,0.0
1953-04,36.7,12.8,0.0,0.0,0.0
1953-05,26.4,2.1,0.0,0.0,0.0
1953-06,58.3,20.4,3.1,0.0,0.0
1953-07,37.7,10.2,0.7,0.0,0.0
1953-08,79.6,55.4,6.6,0.8,0.0
1953-09,96.0,90.1,64.7,31.3,8.0
1953-10,93.1,85.7,57.6,26.8,6.8
1953-11,95.3,88.5,59.8,32.3,1.1
1953-12,97.6,92.1,76.9,42.6,6.1
1954-01,26.1,3.5,0.0,0.0,0.0
1954-02,41.8,17.9,0.0,0.0,0.0
1954-03,11.4,0.4,0.0,0.0,0.0
1954-04,13.2,0.3,0.0,0.0,0.0
1954-05,12.8,3.5,0.0,0.0,0.0
1954-06,6.4,0.1,0.0,0.0,0.0
1954-07,0.0,0.0,0.0,0.0,0.0
1954-08,2.8,0.0,0.0,0.0,0.0
1954-09,0.0,0.0,0.0,0.0,0.0
1954-10,23.2,4.5,0.0,0.0,0.0
1954-11,0.0,0.0,0.0,0.0,0.0
1954-12,47.3,27.2,11.6,3.1,0.0
1955-01,2.3,0.0,0.0,0.0,0.0
1955-02,5.5,1.7,0.0,0.0,0.0
1955-03,44.9,7.8,0.0,0.0,0.0
1955-04,88.0,53.4,2.0,0.0,0.0
1955-05,70.1,18.5,0.0,0.0,0.0
1955-06,70.5,28.2,0.0,0.0,0.0
1955-07,7.6,2.7,0.0,0.0,0.0
1955-08,18.5,7.2,0.0,0.0,0.0
1955-09,11.9,6.4,0.0,0.0,0.0
1955-10,30.7,25.3,11.7,5.9,0.6
1955-11,24.5,18.1,8.5,3.6,0.5
1955-12,17.5,12.1,2.7,0.3,0.0
1956-01,7.3,1.4,0.0,0.0,0.0
1956-02,19.6,11.9,2.7,0.0,0.0
1956-03,38.2,19.2,9.1,2.5,0.0
1956-04,75.5,41.1,5.0,1.5,0.0
1956-05,94.3,85.5,68.7,63.7,57.3
1956-06,93.5,82.1,66.7,61.3,51.5
1956-07,73.4,54.1,31.4,25.7,20.1
1956-08,80.2,62.6,37.9,29.9,23.5
1956-09,64.5,49.1,31.4,26.0,20.0
1956-10,89.6,78.5,42.9,33.0,25.7
1956-11,82.8,71.9,40.6,31.9,25.4
1956-12,80.5,65.3,37.1,30.7,24.4
1957-01,56.3,39.3,12.1,1.4,0.0
1957-02,80.1,48.6,16.7,4.9,0.0
1957-03,90.1,55.0,22.7,11.3,0.0
1957-04,99.4,86.6,35.9,21.2,7.1
1957-05,94.0,76.6,20.2,7.8,0.0
1957-06,88.5,44.4,9.8,0.0,0.0
1957-07,74.5,59.6,15.8,3.8,0.0
1957-08,56.2,29.0,4.0,0.2,0.0
1957-09,32.9,11.4,0.4,0.0,0.0
1957-10,25.1,11.1,0.0,0.0,0.0
1957-11,10.3,3.0,0.0,0.0,0.0
1957-12,2.8,0.0,0.0,0.0,0.0
1958-01,12.2,1.0,0.0,0.0,0.0
1958-02,7.3,0.4,0.0,0.0,0.0
1958-03,0.0,0.0,0.0,0.0,0.0
1958-04,0.0,0.0,0.0,0.0,0.0
1958-05,0.0,0.0,0.0,0.0,0.0
1958-06,0.0,0.0,0.0,0.0,0.0
1958-07,1.1,0.0,0.0,0.0,0.0
1958-08,0.8,0.0,0.0,0.0,0.0
1958-09,0.1,0.0,0.0,0.0,0.0
1958-10,0.0,0.0,0.0,0.0,0.0
1958-11,0.2,0.0,0.0,0.0,0.0
1958-12,5.1,1.0,0.0,0.0,0.0
