0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
67.4,d_18950901,12.3,0.1,0,0,0,0,20.4,0.2,0,0,0
26.8,d_18951001,73.3,59.6,28.3,22.5,13.8,0,0,0,0,0,0
39.1,d_18951101,60.9,39.8,21.8,10.1,0,0,0,0,0,0,0
9.1,d_18951201,91,78.6,33.7,17,0.2,0,0,0,0,0,0
9.6,d_18960101,90.4,68.1,16.1,3.5,0,0,0,0,0,0,0
0,d_18960201,100.1,98.7,60.8,14.2,0.6,0,0,0,0,0,0
8.7,d_18960301,91.4,72.1,11.1,1,0,0,0,0,0,0,0
9.6,d_18960401,90.3,59.5,2.8,0,0,0,0,0,0,0,0
15.8,d_18960501,84.1,42.6,0.8,0,0,0,0,0,0,0,0
31,d_18960601,69,28.4,0,0,0,0,0,0,0,0,0
39.7,d_18960701,60.2,26.4,2.4,0,0,0,0,0,0,0,0
58.3,d_18960801,41.6,9.9,0,0,0,0,0,0,0,0,0
82.8,d_18960901,17.2,0,0,0,0,0,0,0,0,0,0
82.3,d_18961001,0,0,0,0,0,0,17.7,0.2,0,0,0
0,d_18961101,0,0,0,0,0,0,100,48.4,0,0,0
22,d_18961201,0,0,0,0,0,0,78,2.9,0,0,0
5.4,d_18970101,0,0,0,0,0,0,94.6,55.6,24.1,2.5,0
0,d_18970201,0,0,0,0,0,0,100,83.4,12,0,0
0,d_18970301,0,0,0,0,0,0,100,85.6,1.3,0,0
3,d_18970401,0,0,0,0,0,0,97.1,64.4,6.1,0,0
9.9,d_18970501,0,0,0,0,0,0,90.1,48.5,0.3,0,0
8.4,d_18970601,0,0,0,0,0,0,91.6,54.2,10.8,0,0
60.7,d_18970701,0,0,0,0,0,0,39.4,13.9,0,0,0
40.8,d_18970801,0,0,0,0,0,0,59.2,20.9,0,0,0
12.6,d_18970901,0,0,0,0,0,0,87.3,42.2,12.6,0,0
15.2,d_18971001,0,0,0,0,0,0,84.8,50.8,0,0,0
56.3,d_18971101,0,0,0,0,0,0,43.7,1.7,0,0,0
89.8,d_18971201,8,2.1,0,0,0,0,2.1,0,0,0,0
99.4,d_18980101,0.1,0,0,0,0,0,0.5,0,0,0,0
86,d_18980201,14,3.9,0,0,0,0,0,0,0,0,0
74.7,d_18980301,25.3,9.8,0,0,0,0,0,0,0,0,0
73.4,d_18980401,26.5,10.5,0.1,0,0,0,0,0,0,0,0
76.3,d_18980501,23.7,10.6,0,0,0,0,0,0,0,0,0
56.8,d_18980601,43.2,11.8,0,0,0,0,0,0,0,0,0
14,d_18980701,86,48.8,11.1,0.1,0,0,0,0,0,0,0
36.6,d_18980801,63.4,36,1.1,0,0,0,0,0,0,0,0
38,d_18980901,62,14.9,0,0,0,0,0,0,0,0,0
8.5,d_18981001,91.6,41.6,0.2,0,0,0,0,0,0,0,0
41.7,d_18981101,58.3,27.1,0.2,0,0,0,0,0,0,0,0
54.9,d_18981201,45.1,21.4,0.2,0,0,0,0,0,0,0,0
58.8,d_18990101,41.2,7.8,0,0,0,0,0,0,0,0,0
26.4,d_18990201,73.6,56.6,30.4,6.3,0,0,0,0,0,0,0
8.8,d_18990301,91.1,59.9,8.7,0,0,0,0,0,0,0,0
4.1,d_18990401,95.9,75.2,24.3,5,0,0,0,0,0,0,0
0.5,d_18990501,99.5,78,41.1,10.4,0,0,0,0,0,0,0
10.5,d_18990601,89.5,66.6,12.4,2.5,0,0,0,0,0,0,0
7,d_18990701,93,73.1,11.7,0.3,0,0,0,0,0,0,0
0.1,d_18990801,99.9,94.8,5.8,0,0,0,0,0,0,0,0
0.2,d_18990901,99.8,88.6,36.5,28.5,19.3,0,0,0,0,0,0
5.1,d_18991001,94.9,79.7,40.2,23.5,7.8,0,0,0,0,0,0
39.5,d_18991101,60.5,38.1,9.8,0.5,0,0,0,0,0,0,0
19.4,d_18991201,80.7,57.7,14.8,0.3,0,0,0,0,0,0,0
12.1,d_19000101,87.9,60.8,10.7,0,0,0,0,0,0,0,0
0,d_19000201,99.9,99.7,41.2,4.7,0,0,0,0,0,0,0
0,d_19000301,100,100,78.8,24.7,0,0,0,0,0,0,0
0,d_19000401,100,99.3,16,0,0,0,0,0,0,0,0
5.3,d_19000501,94.7,43.8,0,0,0,0,0,0,0,0,0
16.1,d_19000601,84,32.6,0,0,0,0,0,0,0,0,0
66.1,d_19000701,34,13.4,0.4,0,0,0,0,0,0,0,0
2.1,d_19000801,97.9,55.9,2,0,0,0,0,0,0,0,0
31.7,d_19000901,68.3,16.9,0,0,0,0,0,0,0,0,0
65.2,d_19001001,34.8,5,0,0,0,0,0,0,0,0,0
32.8,d_19001101,0,0,0,0,0,0,67.2,55.6,13.4,0,0
39.1,d_19001201,0.2,0,0,0,0,0,60.7,49.2,0.1,0,0
33.2,d_19010101,13,0.9,0,0,0,0,53.6,38.9,0,0,0
4,d_19010201,0,0,0,0,0,0,95.9,58.6,0,0,0
34,d_19010301,0,0,0,0,0,0,66.1,15.7,0,0,0
91.2,d_19010401,0,0,0,0,0,0,8.8,0,0,0,0
26.8,d_19010501,0,0,0,0,0,0,73.2,3,0,0,0
21.6,d_19010601,0,0,0,0,0,0,78.4,20.1,0,0,0
32,d_19010701,0,0,0,0,0,0,68,5.4,0,0,0
68.5,d_19010801,0.3,0,0,0,0,0,31.3,7.8,0,0,0
63.3,d_19010901,0,0,0,0,0,0,36.7,16.7,0,0,0
60.1,d_19011001,0,0,0,0,0,0,39.9,27.5,0,0,0
47.4,d_19011101,52.6,38.4,20.7,14.7,4.8,0,0,0,0,0,0
40.3,d_19011201,59.7,41.4,21.9,15.5,4.4,0,0,0,0,0,0
20.9,d_19020101,79.1,38.9,24.8,16.5,4.1,0,0,0,0,0,0
1.2,d_19020201,98.8,47.8,16.1,8.6,3,0,0,0,0,0,0
47.3,d_19020301,52.7,31.6,12.7,5.3,0.2,0,0,0,0,0,0
