boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,76.5161056519,80.3657684326,81.0181427002,80.2651901245,76.937210083,78.4933700562,78.6094970703
1951,76.167175293,80.4399261475,78.2738418579,78.2922668457,76.8802490234,79.6548461914,79.0702056885
1952,75.5748519897,79.9380187988,77.6704101562,78.4216308594,79.4836273193,77.2560348511,77.960144043
1953,76.8005371094,82.2451477051,79.0512695312,78.611907959,77.4359359741,78.0538024902,79.6930236816
1954,75.9895324707,81.1249847412,79.9924316406,77.6054534912,77.6686859131,78.3173141479,79.4018859863
1955,76.5637359619,81.0360412598,77.482421875,77.0583343506,78.2344207764,77.833480835,79.4770355225
1956,75.7549133301,80.4620666504,79.0747909546,78.986541748,77.8299102783,80.0063476562,77.6201171875
1957,75.8265991211,80.6797027588,77.4074478149,78.7737960815,78.1476898193,78.6527862549,80.6673431396
1958,75.559967041,81.2746734619,79.2818145752,79.1600799561,78.8944854736,77.6725311279,78.7188110352
1959,74.908531189,81.3305892944,79.9142379761,79.7130126953,78.5050201416,76.6387634277,79.2895507812
1960,75.4059371948,80.1763153076,79.1764068604,79.6863708496,77.7309188843,79.4673080444,78.154006958
1961,76.434753418,80.2211914062,78.7870941162,77.7263031006,77.5653533936,78.446182251,78.2816619873
1962,76.2098083496,81.3149337769,79.1142272949,79.0859680176,79.2234649658,78.2929840088,80.7752838135
1963,76.5877914429,81.3297119141,78.0221252441,81.3263092041,77.2605895996,78.1515808105,80.7274932861
1964,76.107635498,79.9865264893,77.0638427734,76.6763916016,76.9538574219,77.0755844116,79.4557723999
1965,75.2309265137,80.096824646,76.8031616211,75.2309265137,77.9077987671,79.2493896484,77.2070922852
1966,75.9935455322,81.1759567261,78.8525695801,76.6890869141,78.2723846436,80.9573287964,76.5889434814
1967,76.1608123779,80.2924957275,78.6088638306,79.0068206787,77.1224365234,76.3390655518,78.598449707
1968,76.2693023682,82.2993087769,78.3345947266,77.7100448608,77.743057251,77.1975860596,79.2850952148
1969,76.1971740723,81.3163070679,78.2765045166,77.8144683838,77.6589584351,76.51121521,78.6832733154
1970,75.8166046143,80.7672119141,78.2128295898,76.9566040039,78.8440551758,77.8460540771,78.498260498
1971,76.0732421875,80.6720123291,77.1706237793,78.5917510986,78.4983139038,78.0079345703,76.100982666
1972,75.5613937378,80.5765991211,78.4285125732,79.4295654297,77.3879852295,80.0603485107,78.8181304932
1973,76.1883850098,81.4451751709,77.6743621826,77.3673248291,78.0002441406,79.0594406128,79.1160736084
