boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,Medium (RCP 4.5)
climate indicator,Precipitation
units,inch

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,2.1985323859999997,11.5471192315,2.764525622,3.1892778010000002,9.439939520000001,5.643297777,4.2171810555
1951,1.814637504,11.385459819,6.640368496,6.7063800235,7.103076988500001,3.07198235,9.094645724
1952,2.8238135982,18.502912559400002,9.257166447,5.6714915676,8.402046133199999,13.7402525376,13.021467333599999
1953,2.2754579975,12.9540978715,1.9912516964999998,5.8617342535,7.352061884499999,9.9915618665,4.4922114025
1954,3.433758305,12.767951631,6.7229510965,7.162041315000001,6.454246309,7.422742309499999,7.2668711765000005
1955,2.187757221,11.5092309905,5.2144264635,10.944257454999999,4.7147923445,8.872612135999999,4.1168713905
1956,2.7394685688,11.6246427906,2.8705226280000002,2.9203750122,5.5885743774000005,5.9375945394,7.9598014158
1957,2.2134690985,15.421186708999999,6.315972045,6.1860304390000005,5.5778501015,7.269462128999999,4.4079889665
1958,2.6955924885,13.774950715000001,9.042976397,3.0290976240000003,4.040191497,7.641048919,5.971945346499999
1959,2.3998166364999998,16.0549684385,5.3449881679999995,4.222381028,2.7339377825,11.274553693,5.672231984
1960,2.7686754054,16.8764722434,4.8076258302,5.3605976622,11.4642298218,5.4445446666,10.2171417348
1961,3.365894147,10.145648843,3.3495326935,5.6434106715,5.670596346,8.267821663,5.0025431970000005
1962,2.5684963495,13.9805633545,4.243100983,7.585842595999999,2.9451902559999996,8.5274967885,3.8145851065
1963,1.4394498065,15.123665682499999,6.832018498499999,1.634175664,14.389381203000001,2.1016505455,3.652649024
1964,2.0783367096,13.353942319200002,3.8882908896,11.664714886199999,5.9079554568,11.4553084254,5.9807198802
1965,2.658265727,15.60746059,10.906945914000001,14.865777560500002,4.5389102690000005,3.6766867195,13.9505535655
1966,1.5818386425,12.8129843455,4.5521157865,6.4133069235,8.108776343999999,1.7396493124999999,4.819820109
1967,2.4243822315,14.246248679499999,6.761339716,8.095691678,8.2108887805,9.091210672499999,5.9405076775
1968,2.1069732815999997,11.6842515636,4.097368719,6.2382881346,6.554715044999999,8.5115049846,3.8983753974
1969,2.0904320515,12.975058215499999,10.523730224,10.9019878635,7.006482987,7.694109188,4.684679808
1970,2.38028618,11.746019886000001,5.6106262255,4.9951005915,6.200417680499999,8.046009995,5.067995362
1971,2.0890037335000002,13.333365538999999,4.3576100239999995,2.249573767,6.362768183999999,5.9086838385,8.148982882499999
1972,2.5524729102,12.838674489599999,3.5814198366,5.873021745000001,11.536145601,4.1185469064,4.4283266346
1973,2.231607518,13.260036017,5.976957818500001,5.8015837135,6.5116235425,6.65068982,6.8131509915
1974,2.5042484655,13.4452653775,6.259310029,12.3140773065,6.631330147,3.4413415085,8.810465155500001
1975,1.6049362805,12.748187099999999,3.389668203,4.7066168919999996,10.68952432,1.9144528495,7.8596988475
1976,2.3755779366,12.164036535,7.4713380354000005,6.4869151554,11.0105353068,8.409154145999999,6.924904098000001
1977,1.5645959329999999,12.126848111,7.089053214000001,7.1575290025,7.3906864035,6.891823930999999,2.7030187055
1978,2.5366357915,14.228154279,13.444194358,5.033742594,5.734404952499999,6.7186872395,4.9607924895
1979,2.3280250785,14.0420260695,8.61313349,3.093858187,6.737321949499999,5.324665114,6.768117109
1980,2.1999821166,15.274045773,11.5577595846,3.141117774,7.0872142278,6.37485258,9.7927772154
1981,2.0969694205000002,13.1738583855,5.7467954615,6.3420156345,6.865056072,8.4807594875,7.846610203
1982,1.815519125,14.866808503000001,9.6944656635,10.6699845195,3.925662308,3.348816308,2.054346144
1983,1.717968568,15.358898583,13.592798012500001,4.3492846295000005,7.972521807500001,3.1896174335,5.4916538185
1984,2.4035114958,15.1523676822,7.712934305999999,6.3510737064,3.2552878506,4.2925559334,4.5550943946
1985,2.062360522,14.531709777500001,4.3950206624999995,14.263275966,9.3835435525,3.636850875,9.5177999695
1986,1.8213049224999998,14.418814,6.7158444735,3.6526016105,4.2794796569999995,3.849553238,11.9905935745
1987,1.735634422,15.152293326,6.9740600735000005,6.548299034499999,4.9266204595000005,8.281767364,9.101842721
1988,2.562840519,15.2865848598,6.1564072002,3.6173840945999998,2.9374283064,9.1109327574,6.2516826732
1989,2.7244547175,13.074125749,2.7722660675,7.8855689525,5.532628755,8.9908993285,6.907390597
1990,1.6974068405,11.077168409,4.726288165500001,6.814261577,5.360351967,9.2868191365,1.8249224739999999
1991,1.5552202875,12.654488972000001,8.3050673945,7.749808991,7.378781162,3.3902505604999997,4.2627473635
1992,2.5067656224,11.5659194448,12.260193153,8.6966388744,6.575913398999999,4.5376869954,8.4950017152
1993,2.2045192985,16.373513026999998,11.266276588,10.1112227365,9.2924245145,9.7605364305,15.987022958499999
